mnt_comb,est_before,dens_before,est_after,dens_after,trans_prob,concentration
GPF,1,L,0.5,L,0.94173063,0.94173063
GPF,1,L,0.5,H,0.02089937,0.02089937
GPF,1,L,1,L,0,0
GPF,1,L,1,H,0,0
G+FF,1,L,0.1,L,0.069621846,0.069621846
G+FF,1,L,0.1,H,0.001132154,0.001132154
G+FF,1,L,0.5,L,0.914376884,0.914376884
G+FF,1,L,0.5,H,0.014869116,0.014869116
G+FF,1,L,1,L,0,0
G+FF,1,L,1,H,0,0
G+RR,1,L,0.1,L,0,0
G+RR,1,L,0.1,H,0,0
G+RR,1,L,0.5,L,0.958372116,0.958372116
G+RR,1,L,0.5,H,0.041627884,0.041627884
G+RR,1,L,1,L,0,0
G+RR,1,L,1,H,0,0
GFF,1,L,0.1,L,0.000116246,0.000116246
GFF,1,L,0.1,H,3.75E-06,3.75E-06
GFF,1,L,0.5,L,0.968599858,0.968599858
GFF,1,L,0.5,H,0.031280142,0.031280142
GFF,1,L,1,L,0,0
GFF,1,L,1,H,0,0
G+LR,1,L,0.1,L,1.36E-05,1.36E-05
G+LR,1,L,0.1,H,3.96E-07,3.96E-07
G+LR,1,L,0.5,L,0.97168531,0.97168531
G+LR,1,L,0.5,H,0.02830069,0.02830069
G+LR,1,L,1,L,0,0
G+LR,1,L,1,H,0,0
GLR,1,L,0.1,L,0,0
GLR,1,L,0.1,H,0,0
GLR,1,L,0.5,L,0.952641762,0.952641762
GLR,1,L,0.5,H,0.047358238,0.047358238
GLR,1,L,1,L,0,0
GLR,1,L,1,H,0,0
G+BR,1,L,0.1,L,1.94E-06,1.94E-06
G+BR,1,L,0.1,H,6.11E-08,6.11E-08
G+BR,1,L,0.5,L,0.969461272,0.969461272
G+BR,1,L,0.5,H,0.030536728,0.030536728
G+BR,1,L,1,L,0,0
G+BR,1,L,1,H,0,0
IRR,1,L,0.1,L,0,0
IRR,1,L,0.1,H,0,0
IRR,1,L,0.5,L,0.960184321,0.960184321
IRR,1,L,0.5,H,0.039815679,0.039815679
IRR,1,L,1,L,0,0
IRR,1,L,1,H,0,0
GBR,1,L,0.1,L,0,0
GBR,1,L,0.1,H,0,0
GBR,1,L,0.5,L,0.949726225,0.949726225
GBR,1,L,0.5,H,0.050265775,0.050265775
GBR,1,L,1,L,7.60E-06,7.60E-06
GBR,1,L,1,H,4.02E-07,4.02E-07
GRR,1,L,0.1,L,0,0
GRR,1,L,0.1,H,0,0
GRR,1,L,0.5,L,0.871694029,0.871694029
GRR,1,L,0.5,H,0.060229971,0.060229971
GRR,1,L,1,L,0.063676268,0.063676268
GRR,1,L,1,H,0.004399732,0.004399732
RPF,1,L,0.1,L,0,0
RPF,1,L,0.1,H,0,0
RPF,1,L,0.5,L,0.153257827,0.153257827
RPF,1,L,0.5,H,0.054474173,0.054474173
RPF,1,L,1,L,0.584509232,0.584509232
RPF,1,L,1,H,0.207758768,0.207758768
RRR,1,L,0.1,L,0,0
RRR,1,L,0.1,H,0,0
RRR,1,L,0.5,L,0,0
RRR,1,L,0.5,H,0,0
RRR,1,L,1,L,0.583600503,0.583600503
RRR,1,L,1,H,0.416399497,0.416399497
CRC,1,L,0.1,L,0.843354474,0.843354474
CRC,1,L,0.1,H,0.000925526,0.000925526
CRC,1,L,0.5,L,0.155549295,0.155549295
CRC,1,L,0.5,H,0.000170705,0.000170705
CRC,1,L,1,L,0,0
CRC,1,L,1,H,0,0
SRS,1,L,0.1,L,0,0
SRS,1,L,0.1,H,0,0
SRS,1,L,0.5,L,0.939914205,0.939914205
SRS,1,L,0.5,H,0.060085795,0.060085795
SRS,1,L,1,L,0,0
SRS,1,L,1,H,0,0
