est_before,dens_before,treatment,est_after,pr_est_after,respondent,change_dens,,,
80,H,GRR,70,7,1,95,,,
80,H,GRR,80,0,1,95,,,
80,H,GRR,90,0,1,95,,,
80,H,GRR,100,0,1,95,,,
80,H,GRR,10,30,2,80,,,
80,H,GRR,20,60,2,80,,,
80,H,GRR,30,10,2,80,,,
80,H,GRR,40,0,2,80,,,
80,H,GRR,50,0,2,80,,,
80,H,GRR,60,0,2,80,,,
80,H,GRR,70,0,2,80,,,
80,H,GRR,80,0,2,80,,,
80,H,GRR,90,0,2,80,,,
80,H,GRR,100,0,2,80,,,
80,H,GRR,10,85,3,90,,,
80,H,GRR,20,15,3,90,,,
80,H,GRR,30,0,3,90,,,
80,H,GRR,40,0,3,90,,,
80,H,GRR,50,0,3,90,,,
80,H,GRR,60,0,3,90,,,
80,H,GRR,70,0,3,90,,,
80,H,GRR,80,0,3,90,,,
80,H,GRR,90,0,3,90,,,
80,H,GRR,100,0,3,90,,,
80,H,GRR,10,5,4,55,,,
80,H,GRR,20,25,4,55,,,
80,H,GRR,30,35,4,55,,,
80,H,GRR,40,20,4,55,,,
80,H,GRR,50,10,4,55,,,
80,H,GRR,60,5,4,55,,,
80,H,GRR,70,0,4,55,,,
80,H,GRR,80,0,4,55,,,
80,H,GRR,90,0,4,55,,,
80,H,GRR,100,0,4,55,,,
80,H,GRR,10,0,5,50,,,
80,H,GRR,20,10,5,50,,,
80,H,GRR,30,20,5,50,,,
80,H,GRR,40,30,5,50,,,
80,H,GRR,50,30,5,50,,,
80,H,GRR,60,10,5,50,,,
80,H,GRR,70,0,5,50,,,
80,H,GRR,80,0,5,50,,,
80,H,GRR,90,0,5,50,,,
80,H,GRR,100,0,5,50,,,
80,H,GRR,10,0,6,90,,,
80,H,GRR,20,0,6,90,,,
80,H,GRR,30,0,6,90,,,
80,H,GRR,40,0,6,90,,,
80,H,GRR,50,0,6,90,,,
80,H,GRR,60,10,6,90,,,
80,H,GRR,70,10,6,90,,,
80,H,GRR,80,80,6,90,,,
80,H,GRR,90,0,6,90,,,
80,H,GRR,100,0,6,90,,,
80,H,GRR,10,0,7,60,,,
80,H,GRR,20,0,7,60,,,
80,H,GRR,30,10,7,60,,,
80,H,GRR,40,10,7,60,,,
80,H,GRR,50,10,7,60,,,
80,H,GRR,60,70,7,60,,,
80,H,GRR,70,0,7,60,,,
80,H,GRR,80,0,7,60,,,
80,H,GRR,90,0,7,60,,,
80,H,GRR,100,0,7,60,,,
80,H,GRR,10,0,8,20,,,
80,H,GRR,20,0,8,20,,,
80,H,GRR,30,0,8,20,,,
80,H,GRR,40,0,8,20,,,
80,H,GRR,50,0,8,20,,,
80,H,GRR,60,10,8,20,,,
80,H,GRR,70,40,8,20,,,
80,H,GRR,80,40,8,20,,,
80,H,GRR,90,10,8,20,,,
80,H,GRR,100,0,8,20,,,
80,H,GRR,10,2,9,60,,,
80,H,GRR,20,60,9,60,,,
80,H,GRR,30,38,9,60,,,
80,H,GRR,40,0,9,60,,,
80,H,GRR,50,0,9,60,,,
80,H,GRR,60,0,9,60,,,
80,H,GRR,70,0,9,60,,,
80,H,GRR,80,0,9,60,,,
